19:40:30 старт: 1379 файлів
19:41:51 50/1379  ok=50 bad=0
19:43:05 100/1379  ok=100 bad=0
19:44:20 150/1379  ok=150 bad=0
19:45:37 200/1379  ok=200 bad=0
19:46:51 250/1379  ok=250 bad=0
19:48:05 300/1379  ok=299 bad=1
19:49:17 350/1379  ok=344 bad=6
19:50:32 400/1379  ok=394 bad=6
19:51:43 450/1379  ok=444 bad=6
19:52:53 500/1379  ok=494 bad=6
19:54:09 550/1379  ok=544 bad=6
19:55:27 600/1379  ok=594 bad=6
19:56:41 650/1379  ok=642 bad=8
19:57:56 700/1379  ok=692 bad=8
19:59:15 750/1379  ok=742 bad=8
20:00:28 800/1379  ok=792 bad=8
20:01:46 850/1379  ok=842 bad=8
20:03:22 900/1379  ok=892 bad=8
20:05:14 950/1379  ok=941 bad=9
20:06:35 1000/1379  ok=991 bad=9
20:07:50 1050/1379  ok=1041 bad=9
20:09:02 1100/1379  ok=1091 bad=9
20:10:20 1150/1379  ok=1141 bad=9
20:11:35 1200/1379  ok=1191 bad=9
20:12:52 1250/1379  ok=1241 bad=9
20:14:05 1300/1379  ok=1291 bad=9
20:15:16 1350/1379  ok=1337 bad=13
20:16:01 ГОТОВО: 1379/1379  ok=1363 bad=16
